Target_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,X,Type,Family,Clan,Gene_ID
TMUE_1000004982.2,8.18186370831429,-0.0460740682152733,0.654827003691667,0.839992676341277,0.9108512163405,243,M,M41,MA,TMUE_1000004982
TMUE_1000004982.3,170.76830289717,0.165222766207504,0.718212156397791,0.223582234723765,0.381854482053586,243,M,M41,MA,TMUE_1000004982
TMUE_1000004982.4,180.983088560219,0.0363996827833628,0.66793859451023,NA,NA,243,M,M41,MA,TMUE_1000004982
TMUE_1000005077.1,193.682200121801,0.424937381713834,0.409285724439338,0.206346166713823,0.360266574071486,215,M,M14A,MC,TMUE_1000005077
TMUE_1000005166.1,1294.03776321907,-2.21078722901592,0.301141178446034,2.13134799143679e-14,4.06226290000783e-13,194,M,M10A,MA,TMUE_1000005166
TMUE_1000005353.1,700.882478005911,-1.03127183954564,0.231366567445963,2.72983405535565e-06,1.95752360444808e-05,256,M,M96,Unassigned,TMUE_1000005353
TMUE_1000005450.1,361.701172545666,0.853525772207479,0.174746493051341,4.25640527473024e-07,3.48868153501852e-06,179,M,M01,MA,TMUE_1000005450
TMUE_1000005478.1,510.509732948045,-0.10043728387245,0.202481406404945,0.603103276362164,0.748402261830883,188,M,M08,MA,TMUE_1000005478
TMUE_1000005524.1,297.550097044579,0.784866719755848,0.91140511726375,0.0695486147135471,0.158052832247736,246,M,M48A,MA,TMUE_1000005524
TMUE_1000005524.2,1933.29765807576,-0.525866918524372,0.281183896008215,0.0412368632269483,0.103842952717185,246,M,M48A,MA,TMUE_1000005524
TMUE_1000005649.1,2707.22137826991,-0.200292523349808,0.107046738127201,0.0717822679742751,0.161945576633272,181,M,M01,MA,TMUE_1000005649
TMUE_2000006499.1,36.7315967247824,-0.500123317594281,0.414319829262936,0.142448296615933,0.273521939383451,NA,NA,NA,NA,NA
TMUE_2000006545.1,1403.00217292364,1.34054012183495,0.151819044983642,2.3681348936958e-19,6.50667441324563e-18,247,M,M67A,MP,TMUE_2000006545
TMUE_2000006862.1,1569.07104965168,0.755726320379527,0.150066392962642,2.39061866069222e-07,2.04320593282358e-06,NA,NA,NA,NA,NA
TMUE_2000006863.1,434.475859206722,-0.142896395969889,0.168794677744096,0.382728717196258,0.558500938433261,210,M,M13,MA,TMUE_2000006863
TMUE_2000006865.1,696.366062864684,1.4158989493603,0.195717843163792,9.47958147373725e-14,1.71479623695172e-12,211,M,M13,MA,TMUE_2000006865
TMUE_2000006962.1,5148.1902633663,-0.456187023551352,0.0820902970400815,1.99857465907494e-08,1.97645067243459e-07,NA,NA,NA,NA,NA
TMUE_2000007012.1,1386.32589162858,-0.00641542693517736,0.576265211401539,0.974732048295402,0.98666408168927,NA,NA,NA,NA,NA
TMUE_2000007012.2,237.967365351101,0.525949007141468,0.773561344932021,0.15404592469424,0.28943113403661,NA,NA,NA,NA,NA
TMUE_2000007012.3,122.479061048688,0.0641783502788863,0.621814511595331,0.829944288558326,0.904551000108164,NA,NA,NA,NA,NA
TMUE_2000007012.4,630.374939051691,1.10224722773424,0.502263574150089,0.00640515225308238,0.0214547108669963,NA,NA,NA,NA,NA
TMUE_2000007012.5,130.133239193992,1.24275668451275,1.23517610231591,0.0219828521220583,0.0612844819183811,NA,NA,NA,NA,NA
TMUE_2000007012.6,1815.97422149384,-1.45683528000737,0.459205911901408,0.000235198208992567,0.00115016959021411,NA,NA,NA,NA,NA
TMUE_2000007021.1,4999.87947443789,-0.614934912417334,0.106272190218078,4.59759635107992e-09,4.97766846649418e-08,NA,NA,NA,NA,NA
TMUE_2000007145.1,4329.50343572806,-1.20333689628672,0.118046885249732,5.71830667432375e-25,2.15156334186144e-23,NA,NA,NA,NA,NA
TMUE_2000007258.1,808.391317871875,-0.126487861978431,0.614573621376756,0.67180846240621,0.799500567264844,244,M,M41,MA,TMUE_2000007258
TMUE_2000007258.2,1117.69332580058,0.216687227319367,0.67319496287838,0.443161890932246,0.61456957747789,244,M,M41,MA,TMUE_2000007258
TMUE_2000007260.1,1406.06186356195,-1.07507317822817,0.167580431858495,4.34635015132401e-11,5.99159355774329e-10,NA,NA,NA,NA,NA
TMUE_2000007439.1,1151.31030247207,-0.286683589540504,0.23104464968785,0.187445712535038,0.335325557330195,NA,NA,NA,NA,NA
TMUE_2000007502.1,1127.4303462901,-1.06948022431277,0.152674841233769,8.17668886419645e-13,1.36059762359381e-11,202,M,M12A,MA,TMUE_2000007502
TMUE_2000007714.1,54.6031845058657,0.0806728248052889,0.66888906077027,0.71577014316823,0.830796280714464,187,M,M08,MA,TMUE_2000007714
TMUE_2000007714.2,1693.12914752504,0.526121082381425,0.182786297535084,0.00277296438808486,0.0103919553620495,187,M,M08,MA,TMUE_2000007714
TMUE_2000008002.1,81.690514362906,-0.784298753641592,0.599141583166751,0.0613079434902002,0.143099594855027,NA,NA,NA,NA,NA
TMUE_2000008051.1,93.7384567701327,-0.336770197196034,0.303372298477823,0.217165262826621,0.374131622264651,NA,NA,NA,NA,NA
TMUE_2000008052.1,65.2894215328935,-0.480807904989137,0.489416435121974,0.193806722730073,0.343664149831071,NA,NA,NA,NA,NA
TMUE_2000008053.1,60.6403314898245,-1.43264699987456,1.04222654762301,0.015527256644162,0.0458307754300354,199,M,M12A,MA,TMUE_2000008053
TMUE_2000008408.1,6928.15385548693,-3.34603513360898,0.11807431830671,6.2047945094555e-178,1.98441738001406e-174,NA,NA,NA,NA,NA
TMUE_2000008708.1,2130.28426201618,0.0313088624276843,0.10665250688448,0.767856563657753,0.867723167937433,NA,NA,NA,NA,NA
TMUE_2000008810.1,75.8456038198955,-4.02268616134199,0.997629020004037,3.86859022124266e-06,2.69906746194989e-05,193,M,M10A,MA,TMUE_2000008810
TMUE_2000008918.1,118.704625965018,-0.203811371876502,0.200886815424396,0.288322989200221,0.459003125686434,251,M,M67A,MP,TMUE_2000008918
TMUE_2000009249.1,98.9871479986631,1.91683809865884,0.557052911116397,5.45869276251933e-05,0.000308881655928686,186,M,M08,MA,TMUE_2000009249
TMUE_2000009250.1,79.8594873108999,-0.0263193213264252,0.41908915208443,0.934288690890146,0.965316951348732,NA,NA,NA,NA,NA
TMUE_2000009784.1,2770.28572184925,-0.014173508491038,0.0957530319837285,0.880306542083153,0.934749268430507,221,M,M16A,ME,TMUE_2000009784
TMUE_2000010148.1,900.869572851894,-3.7705949171428,0.527619196317618,7.56323141546241e-14,1.37749013171594e-12,192,M,M10A,MA,TMUE_2000010148
TMUE_2000010476.1,168.329312907681,-0.0149001100421524,0.376836172963717,0.959522211410996,0.979026571422504,NA,NA,NA,NA,NA
TMUE_2000010477.1,3270.05563655377,-0.472917186363883,0.115928971074233,3.86443920843994e-05,0.000225863477273988,NA,NA,NA,NA,NA
TMUE_2000010551.1,2360.25627995602,-1.75622285810797,0.138343267119946,9.61579546836261e-38,6.17534880861793e-36,185,M,M02,MA,TMUE_2000010551
TMUE_2000010696.1,5084.73264181453,-1.33447574423161,0.251425229379143,2.30915982703638e-08,2.26816798489796e-07,191,M,M10A,MA,TMUE_2000010696
TMUE_3000010831.1,2207.99962049185,-3.30274610295915,0.165558825258862,1.58393355000809e-89,4.60521479966897e-87,196,M,M12A,MA,TMUE_3000010831
TMUE_3000011168.1,311.907030441405,0.53542996508254,0.492331626248833,0.149528835855094,0.283307537222607,NA,NA,NA,NA,NA
TMUE_3000011168.2,84.2333446391257,0.102174102322331,0.475709679767852,0.773434919349617,0.87167841051831,NA,NA,NA,NA,NA
TMUE_3000011260.1,223.352432281918,0.31741363090705,0.556414600653647,0.386308188287358,0.561791245249307,NA,NA,NA,NA,NA
TMUE_3000011260.2,49.8354274037737,-0.275668530643509,0.761103299560934,0.129020366476701,0.253686633175859,NA,NA,NA,NA,NA
TMUE_3000011260.3,3.80444579918084,-0.183035267314017,0.733678462420195,NA,NA,NA,NA,NA,NA,NA
TMUE_3000011415.1,2072.48789074471,1.6043485429642,0.239392991424808,3.10351387331149e-12,4.82296310477396e-11,212,M,M13,MA,TMUE_3000011415
TMUE_3000011415.2,334.157415400347,3.31832011193157,2.45660962096166,0.00196570692510328,0.0076418803915061,212,M,M13,MA,TMUE_3000011415
TMUE_3000011415.3,1221.28274338889,2.17496048463524,0.312065503128186,3.08540577155249e-13,5.31667281173447e-12,212,M,M13,MA,TMUE_3000011415
TMUE_3000011415.4,163.838917840996,0.457827674889211,0.207169301373131,0.020088247209434,0.0570262291496396,212,M,M13,MA,TMUE_3000011415
TMUE_3000011520.1,284.37690198988,0.163475441620583,0.256757350288949,0.495263459264783,0.660089846399662,NA,NA,NA,NA,NA
TMUE_3000011564.1,3088.61661974791,-0.000643893670976013,0.121667356386881,0.994452284334606,0.996492526645691,NA,NA,NA,NA,NA
TMUE_3000011724.1,3293.45755321145,-0.757669848372795,0.130376241467327,3.22742473171035e-09,3.53733714083483e-08,NA,NA,NA,NA,NA
TMUE_3000011897.1,1255.40735721166,0.810923684298314,0.210961681248542,5.44223480318088e-05,0.000308168472867087,245,M,M43B,MA,TMUE_3000011897
TMUE_3000012002.1,489.450080423011,0.239589242498198,0.24001637037872,0.288084731261913,0.458795233304377,208,M,M12B,MA,TMUE_3000012002
TMUE_3000012024.1,3139.78957725034,-2.78501768131992,0.171078745463994,1.74865909377423e-60,2.29203340725768e-58,NA,NA,NA,NA,NA
TMUE_3000012342.1,2447.48927865518,-2.04188387845443,0.131643759862207,4.08278537812047e-55,4.76553437821346e-53,205,M,M12A,MA,TMUE_3000012342
TMUE_3000012446.1,559.7156241572,0.131481893184618,0.192918722970763,0.479287568067345,0.646012095496031,NA,NA,NA,NA,NA
TMUE_3000012553.1,1349.47970372714,-1.11630013862537,0.207694979135196,2.28999144126294e-08,2.25072238089955e-07,197,M,M12A,MA,TMUE_3000012553
TMUE_3000012553.2,67.4859906802312,0.0836052717203713,0.587716716357585,0.801057483436121,0.887160483248633,197,M,M12A,MA,TMUE_3000012553
TMUE_3000012553.3,2591.43749786131,-1.26134784882311,0.155878191800789,1.46162326228826e-16,3.39721185861215e-15,197,M,M12A,MA,TMUE_3000012553
TMUE_3000012555.1,3074.23436534187,-4.42119844706676,0.18872081464878,1.37482296490427e-122,8.11193279473727e-120,NA,NA,NA,NA,NA
TMUE_3000012578.1,2507.29214720089,-3.20316872783933,0.139756373626639,1.29653600465641e-117,6.09791389719432e-115,NA,NA,NA,NA,NA
TMUE_3000013017.1,800.225403298521,-0.471959081791972,0.187745347157285,0.00889121329232109,0.028487155230917,178,M,M01,MA,TMUE_3000013017
TMUE_3000013222.1,146.109722488692,-1.14684842559727,0.241843360797456,6.06470584019597e-07,4.83694319653735e-06,189,M,M08,MA,TMUE_3000013222
TMUE_3000013317.1,943.620875980921,-0.433839724782566,0.148251762882151,0.00270744333736303,0.010172633084533,195,M,M12A,MA,TMUE_3000013317
TMUE_3000013399.1,10.055650034376,0.160201710883832,0.72626460344669,NA,NA,NA,NA,NA,NA,NA
TMUE_3000013578.1,101.642457975976,0.140957571548992,0.431262184707774,0.682150785837217,0.806702832915365,190,M,M10A,MA,TMUE_3000013578
TMUE_3000013578.1,101.642457975976,0.140957571548992,0.431262184707774,0.682150785837217,0.806702832915365,201,M,M12A,MA,TMUE_3000013578
TMUE_3000013997.1,1658.87534401384,-0.0726399124019685,0.110912680734503,0.504656196858346,0.668098124344881,254,M,M76,MA,TMUE_3000013997
TMUE_3000014086.1,569.059257005798,0.303925551278824,0.165729963981804,0.059243560844628,0.139338694141263,NA,NA,NA,NA,NA
TMUE_3000014087.1,24.523925778718,0.0268096255607961,0.64324028395744,0.922752645478537,0.957978157102336,NA,NA,NA,NA,NA
TMUE_3000014087.2,711.966856144355,-0.013619368341462,0.19704846854721,0.940606254821336,0.968652409894898,NA,NA,NA,NA,NA
TMUE_3000014087.3,298.273034526222,0.271952263502603,0.549822443035411,0.455654867600043,0.625762365835821,NA,NA,NA,NA,NA
TMUE_3000014087.4,442.772670075578,0.0944809184659546,0.520696867361124,0.791421726777056,0.881740739419766,NA,NA,NA,NA,NA
TMUE_3000014157.1,626.923691653693,-0.214883714520773,0.537968342434866,0.5417766875701,0.699508600057749,184,M,M02,MA,TMUE_3000014157
TMUE_3000014157.2,61.7007134235028,-0.230103624778996,0.675724890426698,0.409861750025224,0.58489489900053,184,M,M02,MA,TMUE_3000014157
TMUE_3000014157.3,1956.53036744707,-1.17785470184795,0.225119600283566,4.47406519692365e-08,4.23592519621113e-07,184,M,M02,MA,TMUE_3000014157
TMUE_3000014162.1,13.8938795068435,-4.18815269984813,1.50401166414606,0.000286858745632877,0.00137545973055932,200,M,M12A,MA,TMUE_3000014162
TMUE_3000014163.1,219.882968944584,-1.16740567158365,0.227234838046365,7.06245028344506e-08,6.48310232391332e-07,NA,NA,NA,NA,NA
TMUE_3000014227.1,8180.21603006104,-0.212121149006861,0.126883567642371,0.0877856586402174,0.190291509735084,204,M,M12A,MA,TMUE_3000014227
TMUE_3000014289.1,8885.77096329544,-0.0373452298438746,0.296476943479193,0.853025355772301,0.918469790612916,NA,NA,NA,NA,NA
TMUE_3000014464.1,2.72869250134792,-0.180057925523035,0.731862444803385,NA,NA,183,M,M01,MA,TMUE_3000014464
TMUE_3000014464.2,6.79441401291118,-0.186667213277826,0.735975064056051,0.0519966106415591,0.125371197026198,183,M,M01,MA,TMUE_3000014464
TMUE_3000014464.3,1132.26911294058,0.948693749903639,0.267686569513824,0.000144022670966204,0.000744606056068726,183,M,M01,MA,TMUE_3000014464
TMUE_3000014464.4,2710.16151722529,-0.6005500860394,0.154129638835878,6.30467937410268e-05,0.000351282675509672,183,M,M01,MA,TMUE_3000014464
TMUE_3000014651.1,1561.05837128206,-0.177432583005206,0.121607981969515,0.126530030018983,0.249836718344897,253,M,M67X,MP,TMUE_3000014651
TMUE_3000014718.1,2474.32297298782,-1.54366136180687,0.119263495409354,4.84349615067313e-39,3.22718112272558e-37,250,M,M67A,MP,TMUE_3000014718
